language_id,relation,isolanguage_id
tze,,tzb
tze,,tzh
rsh,,sgh
nsg,,ncg
ale,,ale
mwn,,nsq
ita,,ita
akb,,abj
mts,,mpq
mca,,mca
bec,,ctg
din,,dip
kre,,krs
nyk,,tpq
kwa,,kwd
iaa,,iai
thu,,tdh
tvl,,tvl
itw,,itv
ttn,,tet
smd,,sdm
gto,,gta
xav,,xav
mdo,,gmm
tbl,,tnm
her,,her
gsl,,gss
kgr,,kki
tus,,tus
nyr,,nna
ggu,,gnr
mrq,,mrq
mrq,,mqm
bno,,bao
sis,,baa
bfd,,bif
arm,,hye
brz,,bvq
yul,,yul
tsf,,cof
meh,,gdq
smt,,uma
bya,,bee
yey,,yey
pro,,oci
abe,,apc
lho,,lhm
isi,,srl
qan,,qxa
let,,lti
kor,,kor
msl,,mls
mxm,,mig
rsl,,rsl
ksu,,csb
sho,,shh
koy,,kff
tbs,,tab
cch,,coz
for,,for
mmw,,mgr
mxy,,mpm
hnk,,gin
bvi,,bbn
bvi,,wiv
bur,,bsk
mkg,,mnk
saw,,hvn
ber,,wti
mto,,kmj
tao,,tro
mbi,,baw
prd,,pci
dhr,,dhr
kum,,kfy
nor,,nob
kyr,,yuj
rru,,nyo
mrh,,mfr
rka,,rmy
adi,,adj
kjn,,kjn
oku,,oku
mpa,,mwf
sle,,ndi
nua,,nni
nua,,nxl
brf,,rif
gbl,,deu
yny,,jao
xar,,ane
tat,,txx
ktz,,bsh
mku,,zmr
gcy,,ell
tja,,dih
bro,,tcs
sal,,sln
cso,,ctp
lkt,,lkt
moj,,mov
alt,,gsw
ksa,,kee
chy,,cbt
ceb,,ceb
mtp,,mto
ymi,,tao
ksp,,kia
awk,,png
wrn,,wnd
sec,,sey
mcv,,moc
jum,,jua
msg,,mrg
mgo,,lol
sru,,slu
mdk,,mnk
zhn,,zgb
so,,teu
kat,,kmg
swi,,szw
mnr,,mdr
kyk,,kyc
bii,,bzr
ren,,rel
xun,,knw
usr,,usa
nas,,nas
jur,,juc
jeh,,jeh
hak,,hak
adn,,adt
wrd,,wrr
mrw,,zmu
ute,,ute
twe,,tac
com,,swb
bdm,,bia
mxp,,mil
olu,,plo
ewa,,ewe
rum,,klq
ckr,,ram
ckr,,xra
acn,,acn
sss,,str
bbm,,ptu
any,,anu
pau,,pad
otm,,ote
snn,,snk
kac,,xac
mek,,skf
don,,doc
don,,kmc
ngt,,nmf
ipk,,pks
oka,,oka
srl,,dsb
tah,,tah
fur,,fvr
gos,,gsw
tir,,tri
gbk,,gya
kal,,gwc
bar,,bfa
tza,,tzh
pur,,tsz
csl,,csl
kdw,,kbc
gae,,gla
nvs,,niv
wya,,wya
itg,,lij
kpm,,pam
jar,,jar
tub,,tbu
pak,,pkn
bqr,,eus
lin,,lin
baw,,bgr
gmb,,gum
uby,,uby
eno,,eno
urk,,urb
una,,mtg
sps,,slh
mce,,bzj
knd,,kan
cai,,suq
ykn,,yka
dgi,,dgo
dgi,,xnr
eya,,eya
was,,was
pte,,pck
stn,,nso
sha,,shn
mse,,umu
yqy,,jaq
mie,,ium
gal,,adi
abn,,ard
aba,,aau
chu,,cag
sul,,sua
ret,,tnc
jin,,jiu
jin,,jiy
mks,,mak
blz,,bjt
blz,,ble
mzc,,maq
mav,,mbw
gtg,,gsw
kkw,,zkk
oca,,oca
mal,,plt
prc,,pab
daa,,kzf
cum,,ncu
ats,,atw
pin,,piu
mjk,,mfv
tui,,tsm
gim,,bcq
mog,,mhj
mth,,mxp
yna,,ynk
tgw,,txn
kis,,kqs
kis,,kss
lmg,,hia
agh,,agq
apt,,apt
mge,,mng
ape,,apz
new,,new
som,,som
thp,,typ
cld,,cld
cln,,cht
kaw,,kgk
ykt,,sah
akm,,mhv
mko,,moz
osm,,otq
moa,,mte
htc,,hsf
ash,,ady
klz,,kck
bch,,shy
myi,,mpc
ugs,,ugn
mkz,,mcp
ood,,ood
woi,,woi
tpr,,tui
kte,,kcv
nzs,,nzs
khm,,khm
chw,,cja
per,,pip
tla,,ksd
yzv,,kpv
bdg,,bfq
pad,,pdo
yaz,,yah
see,,trv
mnk,,emk
kky,,kne
oks,,opm
ibi,,ibb
ngb,,nga
thy,,thd
rmc,,roh
yug,,yuu
mri,,mok
mum,,mzm
hai,,hdn
hai,,hax
lad,,lbj
iir,,pmy
ker,,ker
arc,,aqc
avo,,avu
dre,,dhv
inr,,ikt
lam,,lme
ojs,,ojs
efi,,efi
mnt,,mwv
mlk,,mpb
nbh,,ghl
nnn,,nuv
ndy,,djk
lot,,njh
tin,,cir
krq,,krk
hal,,hla
qch,,quc
moo,,mos
mic,,mic
nad,,mbj
gji,,gue
arq,,acm
mgd,,mog
kya,,gvn
tgh,,thv
onn,,ono
tob,,tob
nus,,nuf
rus,,rus
nbk,,stc
knw,,mjd
yem,,ybb
cin,,inz
ssh,,bwo
amb,,abt
krt,,kpt
cpn,,cdm
jad,,bod
tke,,tkl
trg,,tew
dbd,,dav
sou,,hsb
bry,,byr
nto,,nto
sba,,slc
spc,,spa
nbe,,ngc
sbg,,sse
fno,,frr
aar,,aiw
lun,,nst
iqu,,iqu
bgl,,sab
ram,,rma
rom,,ron
wau,,noa
bol,,bli
bhn,,bjh
src,,srs
djn,,dji
tzi,,tss
lge,,nds
dar,,dry
pip,,ppl
myn,,mhy
bqi,,eus
put,,ute
kiq,,xal
blx,,bll
fea,,frs
yil,,yll
sar,,dju
pan,,pan
sri,,sri
man,,mev
grk,,ell
nif,,num
irx,,irn
nan,,kln
prt,,pir
qcu,,quz
kmk,,xal
akk,,akx
glc,,glg
arw,,hye
big,,yul
dmk,,dmk
dat,,tcc
guj,,guj
kkz,,kex
grn,,gur
ga,,gaa
ess,,esq
agr,,agr
wic,,wic
est,,est
amd,,adx
tut,,ttm
tru,,tpy
pcm,,poc
snm,,xsu
hin,,hin
mir,,mep
bgo,,bot
pdp,,ppo
die,,dih
keo,,xxk
miy,,mkf
zim,,zik
wry,,wrz
ono,,ons
yta,,nog
pod,,pbi
irr,,irh
mrt,,vma
svc,,csb
wik,,yok
pai,,pwn
nya,,nyt
kan,,ogo
msn,,mbq
nro,,nhr
maz,,maz
maz,,mmc
mss,,skd
yak,,yaf
tha,,tha
aka,,axk
kon,,kng
mor,,mhz
mol,,ron
zqs,,poi
nnc,,ncb
nnm,,tvl
kkt,,kkk
nyg,,nyp
ewo,,ewo
mcn,,myy
krl,,krl
kam,,xbr
mkb,,csi
wtm,,wax
ykm,,yky
goe,,ank
atk,,aqp
mdz,,mda
izi,,izi
cwe,,col
npi,,pcm
ywr,,ywr
mjc,,mjc
nsn,,nsz
koh,,bcs
zun,,zun
tam,,taj
tam,,tge
apj,,apj
mot,,siw
azi,,azb
sup,,spp
bni,,bin
ace,,ace
jom,,tlo
cpw,,ciw
knn,,kfk
kmt,,kmt
mga,,ndt
lar,,lrg
nit,,noo
ayr,,ayo
ngi,,wyb
sui,,swi
lng,,leg
jva,,kpj
kay,,gyd
ksr,,kje
mer,,ulk
sea,,tvk
amu,,ame
shw,,sjw
tas,,shi
jlu,,lwo
gln,,gvf
tnk,,lcm
mik,,mjw
hmu,,hux
ots,,otm
tki,,bag
lus,,lut
doy,,dow
sgb,,mnx
qta,,qvn
amh,,amh
spa,,spa
urh,,urh
gvi,,bar
bma,,tzm
tuc,,tuo
tif,,tif
mxc,,mig
alw,,alh
cav,,cav
bbf,,bbo
bbf,,bwq
ylb,,mpj
mbg,,mhd
obg,,ogu
ngw,,nxn
kwk,,kwk
gml,,kld
mno,,mnr
atc,,upv
arh,,acw
gre,,kal
abo,,arv
bit,,bth
kpo,,kpo
ilo,,ilo
pae,,pbb
nic,,ncb
bez,,kap
tgp,,swt
knu,,kyx
cax,,cni
maa,,mas
tny,,kza
bgs,,bsp
col,,cti
col,,ctu
ppc,,pio
trn,,ter
crn,,cor
krh,,xra
hui,,hch
ite,,itl
ast,,ast
kly,,mwp
au,,avt
aso,,alt
sol,,evn
sab,,snv
mym,,mal
krk,,kyh
ked,,ksx
wmn,,wem
spi,,bod
ylm,,jel
ldo,,bdu
zqc,,zoc
msc,,chb
ond,,one
max,,mbl
chn,,chx
vas,,vas
tlb,,nog
mdu,,muh
sob,,sob
ura,,uur
wlm,,wmt
kry,,kpy
kuo,,kto
iql,,ike
abk,,abk
por,,por
agw,,wbj
yap,,yap
krf,,kpr
txj,,too
nsz,,azz
tmn,,teq
ala,,amp
kea,,kjb
tgk,,tgc
kzh,,doc
nnd,,anh
bse,,tzm
tts,,tks
tsa,,tkr
mde,,men
kgl,,ubu
isn,,isd
jpn,,jpn
ctm,,ctm
shm,,ksb
hlp,,yuf
emc,,cmi
bys,,bsw
spo,,spo
diz,,mdx
kje,,coe
fua,,fub
bbl,,bvx
tua,,pmt
bus,,bqp
kku,,kfq
wrg,,wgy
dio,,dyo
mke,,mek
ton,,tqw
wat,,wbv
asl,,ase
tno,,tdn
krg,,sna
cad,,cad
smn,,mus
nyn,,nyh
che,,chr
sod,,gru
nge,,nge
bim,,bhp
dun,,duc
afr,,afr
bki,,bkq
der,,kbv
rgn,,rog
vaf,,vaf
svt,,swl
pme,,peb
des,,des
nal,,nal
mcd,,mkd
brw,,brv
aho,,arp
agu,,agu
hmd,,mww
fut,,fut
klw,,klb
mbu,,mle
lai,,cnh
grf,,cab
gug,,ktd
naj,,aij
kim,,kig
abm,,akz
tws,,tix
nkk,,nck
ydd,,ydd
ydd,,yih
gdf,,gdf
gua,,gug
kun,,kvn
cml,,rab
gor,,gow
asm,,tml
nat,,ncz
taf,,sps
htt,,hto
bjs,,ssb
jrw,,anq
mrc,,rnp
xam,,xam
prk,,prx
mon,,mnw
omi,,aom
nyl,,yly
rav,,rmn
tye,,woa
sht,,shj
bab,,bav
car,,car
krr,,kxa
can,,cbu
tai,,thv
gna,,gva
bmz,,mzb
nin,,niz
tib,,bod
mlu,,mgl
ata,,tay
kas,,kas
pri,,pre
ytu,,ykg
aci,,acc
aci,,acr
shk,,shp
jun,,jun
wao,,auc
awd,,awa
xho,,xho
sno,,sme
adz,,adz
boz,,boz
aml,,omb
tun,,tun
rov,,rug
crh,,cje
lma,,lom
muy,,myw
kpa,,kpk
coo,,csz
cpa,,cjo
pkt,,pko
fox,,sac
wob,,wob
cck,,cic
mmz,,mms
ndj,,djj
coc,,cod
hei,,hei
dja,,dyy
agl,,agx
yus,,ess
chp,,chp
mnd,,cmn
ayw,,nfl
mlt,,mlt
nnt,,nnt
cui,,cui
pkn,,drl
mos,,cas
buk,,bxk
bsq,,eus
amk,,amr
tmm,,mla
msm,,msu
dsh,,dan
tpt,,tpj
uli,,uli
ebi,,igb
dji,,jig
hay,,vay
tst,,huq
plk,,plu
kob,,kpw
kmr,,kgq
kao,,kyj
ruk,,dru
nhx,,ngu
mag,,mgp
grj,,var
sug,,sjg
cte,,cnt
par,,lkr
kel,,sbc
mpo,,mye
tpi,,tpi
wgu,,wrg
kty,,kca
ngo,,ngo
nep,,nep
mof,,mif
say,,pos
gbc,,pov
bng,,byx
bun,,buo
yuk,,gcd
bub,,bvb
nmb,,nab
fon,,fon
gbb,,gbp
ani,,hnh
hil,,hil
sik,,ski
hba,,heb
gma,,deu
yuc,,yuc
tnt,,tnt
fye,,pym
slr,,slr
fef,,fmp
ngd,,nxg
wyn,,way
tuy,,tue
mmo,,mdf
kth,,gwi
agt,,lnj
eny,,gey
brk,,bkl
ixc,,ixc
ewe,,ewe
uzn,,uzn
brc,,brn
hcr,,hat
mng,,mqy
swv,,swe
mtk,,mjk
bqg,,eus
bpb,,bdq
gti,,deu
dma,,dma
kgt,,ikt
slo,,slv
kwo,,kmo
frw,,fry
mya,,slz
dha,,dsh
biu,,bzi
biu,,lwm
ao,,njo
poc,,poa
tec,,ttc
wog,,wog
rti,,twu
lye,,lee
ngr,,nay
boj,,adi
atb,,atq
non,,nhu
cmy,,chf
zno,,zul
ycn,,ycn
llm,,lef
cmh,,ute
les,,les
nyu,,nyv
sdw,,sad
muo,,mtq
deg,,deg
lac,,lac
kmi,,kcu
zya,,zav
ned,,dse
min,,min
pog,,poy
wai,,waw
gnd,,gqa
amx,,imi
soq,,sqt
mak,,myh
acl,,ach
pam,,pbs
ndi,,nbw
ndi,,ngb
hlb,,hlb
tex,,kmz
hua,,ygr
gog,,ggw
swe,,swe
avt,,avn
blc,,bgp
yur,,yur
loz,,loz
ttu,,bbl
crq,,crx
hrr,,har
bnm,,bjr
scr,,hrv
scr,,srp
scr,,bos
ter,,ttr
ocu,,ocu
dga,,dga
bga,,bng
mgn,,mdh
pmc,,poo
yay,,pcc
ami,,ami
yng,,yia
zay,,zay
tba,,sst
nab,,naf
udm,,udm
nam,,nnm
kji,,kmr
buy,,bwu
blu,,lua
sey,,crs
mbe,,mdt
psh,,pst
ctl,,cat
nug,,nuy
ban,,bcw
pun,,wdj
qco,,quh
yan,,ynn
nog,,nog
siu,,sis
dgr,,dta
dbw,,daf
twx,,kmz
tzz,,tzz
kro,,kgo
shl,,shk
tal,,tlj
cua,,cua
kaa,,arr
ava,,ava
slp,,spl
toq,,mlu
yor,,yor
pok,,rwa
nax,,nbf
kti,,yon
bqs,,eus
lan,,laj
kuq,,kum
bmb,,bim
lgt,,log
kmw,,xmu
tar,,tae
nmi,,nhx
yir,,yiy
rim,,rim
mmu,,zmi
mne,,nmu
nju,,nys
tod,,sbu
gfr,,gcr
rnr,,rml
cro,,cro
coi,,caa
gok,,gkn
gds,,gaj
ynm,,wca
mis,,miq
suk,,sui
mrg,,mrt
pum,,pmi
pum,,pmj
kkv,,khl
kkv,,kvc
zam,,zpm
wrs,,wrs
gzu,,gsw
ari,,laz
evn,,eve
mkr,,msy
hid,,hid
kbo,,kbx
amp,,aer
grb,,gry
awn,,awn
eve,,evn
biq,,bps
biq,,smk
ahu,,ahh
nte,,nsl
kil,,lub
cct,,cho
mun,,unr
iwa,,ibd
mid,,mei
ina,,szp
ten,,tex
tna,,tuv
haw,,haw
oss,,oss
bmn,,bax
kok,,trp
jeb,,jeb
gny,,gyy
mdr,,mad
vot,,vot
ngu,,llp
sao,,ssy
aja,,aja
ppi,,pit
chj,,cac
chj,,cnm
cem,,cam
day,,dai
tof,,kim
ygd,,dur
gol,,gol
mhu,,lnb
lil,,lil
gyb,,guo
mwc,,mke
mgi,,mgu
cat,,cto
dom,,rmt
nuk,,mbr
hsl,,has
ngm,,sba
hun,,hun
kar,,kah
pmn,,pej
mrl,,mur
asu,,asu
mms,,mqj
cya,,ctp
bor,,boa
wnb,,win
jmm,,jaa
mzn,,mzn
chi,,cid
lgi,,lag
nah,,nll
xoo,,nmn
vai,,vai
tll,,tuh
lml,,lmc
mti,,mot
apc,,apm
baj,,bdl
leg,,lea
leg,,lgm
iss,,isr
kri,,kzw
sur,,sgz
shd,,sdp
mai,,mai
kkr,,kiy
gdr,,gid
mla,,mcu
mla,,mzk
nun,,nut
kng,,kgp
brl,,loy
lis,,lis
gad,,ged
chd,,cdn
crk,,mus
smj,,sea
maj,,mpe
ena,,enq
poa,,fwa
uku,,kuu
wma,,mqs
blt,,bft
nih,,jsl
bco,,blc
amr,,ary
plr,,fap
dyi,,dbl
wor,,unp
grt,,gor
iha,,ihp
tlo,,tlb
kmn,,kue
kjo,,kjc
mok,,mkj
arr,,aer
arr,,are
wll,,wls
vie,,vie
irq,,irk
ksl,,xki
pem,,aoc
mds,,xmm
bak,,bkc
tes,,teo
tma,,tma
wrp,,wrp
dgb,,dag
tsh,,par
ido,,idu
jpr,,jru
pwn,,paw
tls,,tly
tli,,tli
tmi,,tat
ady,,ady
ski,,sjd
sre,,kpm
orh,,hae
kjr,,kqy
jak,,jac
jak,,jai
ila,,ilb
hyo,,csh
ynk,,kdd
shr,,cjs
olm,,nij
taj,,tgk
jbt,,jbt
jwr,,jaa
sto,,sto
wed,,wed
bhi,,bhb
apk,,apq
mul,,mlm
dge,,gsg
mxo,,mie
ndt,,ndv
lgu,,lgu
try,,tiy
bwa,,bdy
aeg,,arz
hmi,,hto
anu,,cko
mrk,,mtf
ijo,,ijc
shu,,shs
oix,,otz
phl,,pww
ish,,sgl
twa,,twa
ylt,,ydd
koi,,kbk
udi,,udi
tks,,kkw
gag,,gag
gur,,ggn
gur,,gvr
yam,,yaa
dou,,tds
nbd,,kzh
tga,,tgg
hav,,yuf
bca,,bdy
mnm,,mva
juk,,jbu
diy,,dif
knr,,knc
ved,,ved
amo,,amo
sen,,seh
snh,,sin
git,,git
ene,,enf
ene,,enh
fin,,fin
yag,,yad
blk,,blz
atu,,aeb
kod,,kfa
tul,,tcy
tzo,,tzc
rao,,rao
tnj,,tfn
nym,,nym
iat,,ian
chh,,sgw
eko,,eko
cba,,boi
tis,,bod
han,,hni
sge,,sop
tml,,tam
knc,,uwa
uri,,uri
trt,,tft
kad,,xtc
mrd,,mrz
tok,,yer
bai,,bca
zar,,dje
ket,,ket
zqo,,zoc
atm,,kuz
ign,,ign
gue,,gxx
gue,,wec
bbu,,brm
glp,,dhg
krz,,kry
klv,,kij
gav,,gvo
frd,,frd
prs,,pes
shi,,shb
cvc,,cbk
ndb,,nbl
gth,,deu
mcf,,crg
geo,,kat
buu,,mhs
qec,,qug
err,,erg
mtl,,mvb
cmx,,coo
ukr,,ukr
kwr,,tnk
ora,,ema
mki,,mik
nht,,nhg
wag,,waq
dad,,mps
men,,mez
jav,,jav
ntj,,ntj
ane,,anz
cap,,kaq
bgi,,bgq
sch,,str
krn,,kqz
yei,,jei
tik,,tik
maw,,mlq
kew,,kew
kew,,kjs
mnj,,mpj
tte,,tta
nav,,nav
pul,,puw
krj,,gbd
ngn,,nid
zul,,zul
muh,,sgw
all,,nrz
khs,,kha
fre,,fra
vep,,vep
ako,,acy
cde,,mch
fas,,faa
klk,,xuo
lbu,,lun
mwp,,pmw
yki,,yuk
fgo,,fub
brd,,bcj
wel,,cym
bnl,,bjb
nko,,cgg
itb,,eml
mxs,,mks
oya,,ori
akl,,akl
krb,,gil
hln,,hal
trw,,trw
kuy,,vkt
idn,,viv
shy,,yuy
rut,,rut
arv,,ajp
qaw,,alc
cmr,,mrh
mby,,myb
mll,,mbe
cmc,,xcm
kop,,koi
mee,,mym
sme,,sif
tos,,tos
sae,,skb
bsr,,bsc
sla,,scs
sla,,xsl
gaa,,gbu
mkn,,knf
mgh,,mag
lou,,loj
btk,,bnc
tsw,,tsn
tty,,tav
gmt,,gnn
nbo,,now
kae,,tbd
bua,,bvr
rmb,,rmb
ken,,kyq
owc,,gaz
iso,,iso
yns,,yns
srd,,sro
yel,,yle
hli,,hur
hlu,,hur
dds,,dds
bly,,nad
bxj,,bxj
dhl,,dhl
ggd,,ggd
guf,,guf
vka,,vka
kyt,,gbb
lnj,,lnj
mrj,,nju
nlr,,nlr
nly,,nly
ump,,ump
wkw,,wkw
wgg,,wgg
wbt,,wbt
wru,,wrm
ylr,,ylr
agb,,agb
wec,,cym
huc,,huc
tia,,tms
wna,,wan
ddj,isDialectOf,god
ney,,ney
jms,,djm
nrg,,sen
wwa,,wwa
ncm,,bud
xsm,,xsm
mmi,,mcs
myg,,mdm
mnz,,moj
ajg,,ajg
guw,,guw
avk,,avi
mkq,isDialectOf,nge
mdw,,mdw
bdu,,buu
vif,,vif
kwy,,kwy
sku,,sub
bgm,,dba
zag,,zag
mgq,,mge
tsk,,taq
hna,,hna
sid,,sid
arj,,afb
ryu,,ryu
bkb,,xub
rji,,rji
nmm,,nmm
tbx,isDialectOf,skj
tdi,isDialectOf,bod
tdr,isDialectOf,bod
kgy,,kgy
amt,isDialectOf,adx
shg,isDialectOf,bod
rpa,isDialectOf,bod
knz,isDialectOf,khg
khd,isDialectOf,khg
xns,,xns
wme,,wme
ybi,,ybi
gyc,isDialectOf,jya
rgc,isDialectOf,jya
tvt,,tvt
ral,,ral
mhl,isDialectOf,mrg
lic,,lic
khn,,kkh
agd,,duo
bgz,,bdg
bwc,,bdr
ttd,,tet
lab,,lbu
vnm,,vnm
psw,,psw
lmu,,lmu
erk,,erk
ndr,isDialectOf,fij
mxe,,mxe
mqf,,mqf
mpt,,mpt
mkj,,mkz
abv,,abz
adg,,adn
bdw,,bdw
dlm,isDialectOf,kbv
brp,isDialectOf,wra
fqs,,fqs
kwt,,kwo
bio,,bio
amm,,amm
owi,,owi
urt,,urt
xbi,,xbi
aoj,,aoj
kmz,,kms
inn,isDialectOf,ynd
msq,isDialectOf,hur
tee,,tee
qum,,qum
lec,,lec
cln,,clh
eme,,eme
kyz,,kyz
cpy,,cap
kkq,,kui
pnx,,kre
kqq,,kqq
csk,,csk
